"zipcode","city","list","list_number","firstname","lastname","gender","position","party","cumuls_2017","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","cumuleo_url"
4480,"Engis","Parti Social",,"Adrien","JOIRIS","M",16,,,,,,,,,,,,,,,,,
6730,"Tintigny","Commune en Vie",,"Céline","JOLAS","F",4,,,,,,,,,,,,,,,,,
1000,"Bruxelles","ECOLO-GROEN",2,"Jerôme","JOLIBOIS",,7,,,,,,,,,,,,,,,,,
7120,"Estinnes","MR",,"Catherine","JOLIMONT","F",7,,,,,,,,,,,,,,,,,
4600,"Visé","PS",,"Jacqueline","JOLIS","F",8,,,,,,,,,,,,,,,,,
4400,"Flémalle","PTB",,"Marie-Ange","JOLIS","F",5,,,,,,,,,,,,,,,,,
1460,"Ittre","IC",,"Ferdinand","JOLLY","M",1,"cdH","10","oui","oui","oui","oui","oui","oui",,,,,,"oui","oui","oui","https://www.cumuleo.be/mandataire/4886-ferdinand-jolly.php"
5660,"Couvin","ECOLO",,"Jacques","JOLY","M",21,,,,,,,,,,,,,,,,,
7050,"Jurbise","ALTERNATIVE",,"Laurent","JOLY","M",9,,,,,,,,,,,,,,,,,
5640,"Mettet","ROPS",,"Robert","JOLY","M",2,"PS","8","oui",,,,"oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/4884-robert-joly.php"
7100,"La Louvière","U.C.B",,"Romuald","JOLY","M",1,,,,,,,,,,,,,,,,,
6200,"Châtelet","moDem",,"Yvonne","JOLY","F",24,,,,,,,,,,,,,,,,,
5000,"Namur","DéFI",,"Maxime","JONARD","M",3,,,,,,,,,,,,,,,,,
7950,"Chièvres","MR",,"Frédéric","JONCKERS","M",15,,,,,,,,,,,,,,,,,
1390,"Grez-Doiceau","A.C#BOURGMESTR",,"Michel","JONCKERS","M",22,"MR","3","oui","oui","oui","oui","oui","oui",,,,,,,,,"https://www.cumuleo.be/mandataire/13148-michel-jonckers.php"
4000,"Liège","VEGA",,"Alain","JONCKHEERE","M",9,,,,,,,,,,,,,,,,,
4460,"Grâce-Hollogne","PS",,"Christiane","JONET","F",22,,,,,,,,,,,,,,,,,
7500,"Tournai","DéFI",,"Frédérique","JONET","F",1,,,,,,,,,,,,,,,,,
4537,"Verlaine","I.C.V",,"Hubert","JONET","M",1,"MR","5","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/4873-hubert-jonet.php"
6220,"Fleurus","DéFI",,"Jean-François","JONET","M",7,,,,,,,,,,,,,,,,,
,"Braine-l'Alleud","PP",,"Loïc","JONET","M",3,,,,,,,,,,,,,,,,,
4000,"Liège","MR pour Liège",,"Marie-Pauline","JONET","F",39,,,,,,,,,,,,,,,,,
,"Berchem","LBR",13,"Martine","Jonet",,20,,,,,,,,,,,,,,,,,
6200,"Châtelet","RC",,"Christophe","JONNART","M",24,,,,,,,,,,,,,,,,,
7130,"Binche","PS",,"Luc","JONNART","M",13,"PS","5","oui","oui","oui","oui","oui","oui","oui","oui",,"oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/4871-luc-jonnart.php"
1330,"Rixensart","ECOLO",,"Jean-Luc","JONNIAUX","M",5,,,,,,,,,,,,,,,,,
1480,"Tubize","RC",,"Marc","JONVILLE","M",15,,,,,,,,,,,,,,,,,
7000,"Mons","PS",,"John","JOOS","M",11,,,,,,,,,,,,,,,,,
1040,"Etterbeek","PS-sp.a+",5,"Chantal","Jordan",,34,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","PS-sp.a",5,"Daniel","Jordan",,17,,,,,,,,,,,,,,,,,
1040,"Etterbeek","PS-sp.a+",5,"Josette","Jordan",,16,,,,,,,,,,,,,,,,,
7000,"Mons","AGORA - CDH",,"Marc-Henri","JORDAO DE MATOS","M",34,,,,,,,,,,,,,,,,,
4460,"Grâce-Hollogne","ECOLO",,"Jacques","JORDENS","M",19,,,,,,,,,,,,,,,,,
4460,"Grâce-Hollogne","ECOLO",,"Johan","JORDENS","M",15,,,,,,,,,,,,,,,,,
1160,"Auderghem","Ecolo-Groen",2,"Lieve","Jorens",,3,,,,,,,,,,,,,,,,,
1400,"Nivelles","ECOLO",,"Martin","JORET","M",17,,,,,,,,,,,,,,,,,
,"Fontaine-l'Evêque","PS",,"Anita","JÖRG","F",14,,,,,,,,,,,,,,,,,
7860,"Lessines","PP",,"Béatrice","JORION","F",8,,,,,,,,,,,,,,,,,
4620,"Fléron","ECOLO",,"Anne","JORIS","F",18,,,,,,,,,,,,,,,,,
6980,"La Roche-en-Ardenne","Vision@Venir",,"Astrid","JORIS","F",14,,,,,,,,,,,,,,,,,
4880,"Aubel","AUBEL DEMAIN",,"Audrey","JORIS","F",10,,,,,,,,,,,,,,,,,
5377,"Somme-Leuze","UC",,"Denis","JORIS","M",12,,,,,,,,,,,,,,,,,
4800,"Verviers","PTB",,"Fabien","JORIS","M",17,,,,,,,,,,,,,,,,,
4800,"Verviers","ECOLO",,"Freddy","JORIS","M",3,,,,,,,,,,,,,,,,,
4600,"Visé","PS",,"Jean","JORIS","M",21,,,,,,,,,,,,,,,,,
4170,"Comblain-au-Pont","ECOLO",,"Jérôme","JORIS","M",8,,,,,,,,,,,,,,,,,
4800,"Verviers","PTB",,"Luc","JORIS","M",3,,,,,,,,,,,,,,,,,
6970,"Tenneville","IC Tenneville",,"Walter","JORIS","M",7,,,,,,,,,,,,,,,,,
6687,"Bertogne","GC",,"Joëlle","JORIS-SIMON","F",2,,,,,,,,,,,,,,,,,
6671,"Gouvy","HORIZON NEUF",,"Daniel","JORIS-VERTOMMEN","M",14,,,,,,,,,,,,,,,,,
4140,"Sprimont","e-PS",,"Cristina","JORS-KIEKEN","F",8,,,,,,,,,,,,,,,,,
4350,"Remicourt","VOUS !",,"Vincent","JORSSEN","M",10,,,,,,,,,,,,,,,,,
1310,"La Hulpe","DéFI",,"Alexis","JOSEPH","M",3,,,,,,,,,,,,,,,,,
5000,"Namur","ECOLO",,"Lisa","JOSEPH","F",12,,,,,,,,,,,,,,,,,
5570,"Beauraing","INT. CITOYENS",,"Morgan","JOSEPH","M",16,,,,,,,,,,,,,,,,,
4600,"Visé","MR",,"Ghislaine","JOSKIN-MULLENDERS","F",9,,,,,,,,,,,,,,,,,
4040,"Herstal","MR",,"David","JOSSAAR","M",3,,,,,,,,,,,,,,,,,
1450,"Chastre","Chastre@venir",,"Claude","JOSSART","M",19,"MR","29","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/4862-claude-jossart.php"
,"Fontaine-l'Evêque","UB",,"Guy","JOSSE","M",19,,,,,,,,,,,,,,,,,
7870,"Lens","Citoyen Lens",,"Kelly","JOSSE","F",10,,,,,,,,,,,,,,,,,
6150,"Anderlues","WI",,"Laura","JOSSE","F",2,,,,,,,,,,,,,,,,,
4620,"Fléron","ECOLO",,"Laurence","JOSSELET","F",22,,,,,,,,,,,,,,,,,
1140,"Evere","ECOLO-GROEN",2,"Elvis","Jost-Roumagnou",,13,,,,,,,,,,,,,,,,,
5377,"Somme-Leuze","AUTREMENT",,"Cécile","JOTTARD","F",16,,,,,,,,,,,,,,,,,
5590,"Ciney","ACTION",,"David","JOTTARD","M",11,,,,,,,,,,,,,,,,,
4460,"Grâce-Hollogne","ULP",,"Anne","JOTTAY","F",12,,,,,,,,,,,,,,,,,
5500,"Dinant","ID!",,"Joseph","JOUAN","M",21,,,,,,,,,,,,,,,,,
5590,"Ciney","ICI ",,"Joseph","JOUANT","M",23,,,,,,,,,,,,,,,,,
5620,"Florennes","Ad 11",,"Bernadette","JOUANT-CAPRON","F",12,,,,,,,,,,,,,,,,,
4540,"Amay","ECOLO",,"Jean-Jacques","JOUFFROY","M",19,,,,,,,,,,,,,,,,,
,"Berchem","LBR",13,"Abdallah","Jouglaf",,11,,,,,,,,,,,,,,,,,
1380,"Lasne","ECOLO",,"Mohammed","JOUHARI","M",15,,,,,,,,,,,,,,,,,
5150,"Floreffe","ECOLO",,"Anne","JOUNIAUX","F",11,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","ECOLO-GROEN",2,"Denis","Jouniaux",,33,,,,,,,,,,,,,,,,,
5680,"Doische","CD@",,"Christophe","JOURDAIN","M",4,,,,,,,,,,,,,,,,,
1190,"Forest","MR",12,"Juan","JOURDAIN",,29,,,,,,,,,,,,,,,,,
7000,"Mons","Citoyens",,"Roger","JOURDAIN","M",10,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","PS-sp.a",5,"Sigrid","Jourdain",,30,,,,,,,,,,,,,,,,,
4170,"Comblain-au-Pont","ECD",,"Michaël","JOURDAN","M",15,,,,,,,,,,,,,,,,,
7880,"Flobecq","MR",,"Benoît","JOURET","M",3,,,,,,,,,,,,,,,,,
6440,"Froidchapelle","DéFI",,"Chantal","JOURET","F",4,,,,,,,,,,,,,,,,,
7900,"Leuze-en-Hainaut","Idées",,"Nicolas","JOURET","M",7,,,,,,,,,,,,,,,,,
7900,"Leuze-en-Hainaut","ECOLO",,"Vincent","JOURET","M",17,,,,,,,,,,,,,,,,,
7080,"Frameries","PS",,"Vinciane","JOURET","F",22,,,,,,,,,,,,,,,,,
6230,"Pont-à-Celles","IC",,"Aude","JOURION","F",10,,,,,,,,,,,,,,,,,
1470,"Genappe","#NAME?",,"Philippe","JOURION","M",3,,,,,,,,,,,,,,,,,
1170,"Watermael-Boitsfort","GÉNÉRATIONS Humanistes",1,"Hervé","Jourquin",,7,,,,,,,,,,,,,,,,,
6470,"Sivry-Rance","Ensemble",,"Maryline","JOUVENEAUX","F",14,,,,,,,,,,,,,,,,,
6200,"Châtelet","LA DROITE",,"Myriam","JOUVENEAUX","F",2,,,,,,,,,,,,,,,,,
5170,"Profondeville","ECOLO",,"Julia","JOVENEAU","F",13,,,,,,,,,,,,,,,,,
1040,"Etterbeek","Ecolo-Groen",2,"Caroline","Joway",,20,,,,,,,,,,,,,,,,,
4500,"Huy","idHuy",,"Murielle","JOYE","F",7,,,,,,,,,,,,,,,,,
7890,"Ellezelles","ECOLO",,"Alexandra","JOYEUX","F",6,,,,,,,,,,,,,,,,,
4630,"Soumagne","PS-ID",,"Cindy","JOYEUX","F",18,,,,,,,,,,,,,,,,,
1370,"Jodoigne","J'M",,"Didier","JOYEUX","M",3,,,,,,,,,,,,,,,,,
4430,"Ans","MR-IC",,"Laurence","JOYEUX","F",22,,,,,,,,,,,,,,,,,
4620,"Fléron","IC FLERON",,"Christine","JOYEUX-BERTRAND","F",20,,,,,,,,,,,,,,,,,
6720,"Habay","Vouloir",,"Wendy","JOZWIAK - DELAFONTAINE","F",17,,,,,,,,,,,,,,,,,
7000,"Mons","PS",,"Caroline","JUDE","F",22,"PS","8","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/13538-caroline-jude.php"
1060,"Saint-Gilles","CDH + CD&V",1,"Jacinto","Judice Pinheiro",,13,,,,,,,,,,,,,,,,,
4000,"Liège","VEGA",,"Aurélie","JUDONG","F",12,,,,,,,,,,,,,,,,,
4670,"Blegny","MR",,"Philippe","JUDONG","M",13,,,,,,,,,,,,,,,,,
1060,"Saint-Gilles","MR",12,"Philippe","Judong",,11,,,,,,,,,,,,,,,,,
7160,"Chapelle-lez-Herlaimont","PS",,"Sylvio","JUG","M",23,,,,,,,,,,,,,,,,,
6220,"Fleurus","E+",,"Anelise","JUHASZ","F",4,,,,,,,,,,,,,,,,,
6220,"Fleurus","E+",,"Aurélien","JUHASZ","M",5,,,,,,,,,,,,,,,,,
4130,"Esneux","pp",,"Bruno","JUKIC","M",5,,,,,,,,,,,,,,,,,
7500,"Tournai","Oxygène",,"Emmanuel","JULES","M",9,,,,,,,,,,,,,,,,,
1070,"Anderlecht","DéFI",4,"Cedric","Julien",,31,,,,,,,,,,,,,,,,,
6791,"Aubange","CDH.com",,"Françoise","JULIEN","F",8,,,,,,,,,,,,,,,,,
7700,"Mouscron","MR",,"Philippe","JULIEN","M",19,,,,,,,,,,,,,,,,,
6120,"Ham-sur-Heure-Nalinnes","Cap Communal",,"Pol","JUMET","M",15,,,,,,,,,,,,,,,,,
1160,"Auderghem","LISTE CITOYENNE 1162",1,"Oliver","Jung",,2,,,,,,,,,,,,,,,,,
4367,"Crisnée","ECOLO",,"Guy","JUNGBLUT","M",6,,,,,,,,,,,,,,,,,
1180,"Uccle","ECOLO - GROEN",2,"Mathias","Junqué",,21,,,,,,,,,,,,,,,,,
4450,"Juprelle","IC",,"Catherine","JUPRELLE","F",17,,,,,,,,,,,,,,,,,
4870,"Trooz","Bourgmestre",,"Isabelle","JUPRELLE","F",2,"PS","8","oui","oui","oui","oui","oui","oui","oui",,,,,,,,"https://www.cumuleo.be/mandataire/12706-isabelle-juprelle.php"
4460,"Grâce-Hollogne","rcGH",,"Marcel","JUPRELLE","M",14,,,,,,,,,,,,,,,,,
7340,"Colfontaine","PS",,"Anne-Sophie","JURA","F",6,,,,,,,,,,,,,,,,,
7850,"Enghien","En Mouvement",,"Davy","JURCA","M",7,,,,,,,,,,,,,,,,,
6940,"Durbuy","ECOLO",,"Eric","JURDANT","M",1,,,,,,,,,,,,,,,,,
4900,"Spa","MR",,"Bernard","JURION","M",20,"MR","9","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/4847-bernard-jurion.php"
4357,"Donceel","IC",,"Stephan","JURKOWSKI","M",10,,,,,,,,,,,,,,,,,
7890,"Ellezelles","MR",,"Christian","JURQUIN","M",15,,,,,,,,,,,,,,,,,
4960,"Malmedy","Alternative",,"Robert","JUSTIN","M",13,"cdH","8","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/14527-robert-justin.php"
5363,"Hamois","Ensemble 2018",,"Wivine","JUVENT-FRIPPIAT","F",16,,,,,,,,,,,,,,,,,
6210,"Les Bons Villers","Citoyens",,"Marie-Paule","JUVYNS","F",10,,,,,,,,,,,,,,,,,
4000,"Liège","MR pour Liège",,"Marième","KABA","F",43,,,,,,,,,,,,,,,,,
1180,"Uccle","PS",5,"Leïla","Kabachi",,30,,,,,,,,,,,,,,,,,
7390,"Quaregnon","PS",,"Nida","KABAKCI","F",16,,,,,,,,,,,,,,,,,
5590,"Ciney","ECOLO",,"Renate","KABANIENKO","F",22,,,,,,,,,,,,,,,,,
1325,"Chaumont-Gistoux","ECOLO",,"Sese","KABANYEGEYE","F",2,,,,,,,,,,,,,,,,,
1060,"Saint-Gilles","Liste du Bourgmestre",5,"Grégoire","Kabasele",,19,,,,,,,,,,,,,,,,,
1040,"Etterbeek","Alternative CDH",1,"Laurence","Kabatu",,12,,,,,,,,,,,,,,,,,
6000,"Charleroi","PTB",,"Mathilda","KABELU-TUNSELE","F",21,,,,,,,,,,,,,,,,,
6240,"Farciennes","PS",,"Adrienne","KABIMBI","F",12,,,,,,,,,,,,,,,,,
1435,"Mont-Saint-Guibert","Tous Ensemble",,"Rudy","KABIMBI NGOY","M",13,,,,,,,,,,,,,,,,,
1470,"Genappe","#NAME?",,"Raehda","KABIR","M",7,,,,,,,,,,,,,,,,,
,"Eghezée","ECOLO",,"Pontien","KABONGO","M",1,,,,,,,,,,,,,,,,,
7972,"Beloeil","Bel Elan",,"Chantal","KABORE GOBERT","F",6,,,,,,,,,,,,,,,,,
1340,"Ottignies-Louvain-la-Neuve","PS",,"Soukaina","KABOUH","F",21,,,,,,,,,,,,,,,,,
5000,"Namur","DéFI",,"Yasmina","KABSI","F",36,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","PS+sp.a",5,"Jeannot","Kabuya",,4,,,,,,,,,,,,,,,,,
4500,"Huy","idHuy",,"Pawel","KACZMAREK","M",18,,,,,,,,,,,,,,,,,
7340,"Colfontaine","MR",,"Irène","KACZOR","F",20,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","CDH-CD&V+",1,"Larbi","Kaddour",,45,,,,,,,,,,,,,,,,,
6000,"Charleroi","ECOLO",,"Younesse","KADDOUR DJEBBAR","M",9,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","Molenbeek act",15,"Mimoun","Kaddouri",,23,,,,,,,,,,,,,,,,,
6000,"Charleroi","C+",,"Mohamed","KADIM","M",51,"cdH","5","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/13539-mohamed-kadim.php"
1140,"Evere","LISTE DU BOURGMESTRE",13,"Benjamine","Kadima",,20,,,,,,,,,,,,,,,,,
4400,"Flémalle","ECOLO",,"Victor","KADIMA BAFWA","M",3,,,,,,,,,,,,,,,,,
4877,"Olne","ECOLO",,"Cendrine","KAESMACHER","F",6,,,,,,,,,,,,,,,,,
1340,"Ottignies-Louvain-la-Neuve","OLLN 2.0-MR",,"Anne Marie","KAGOYIRE-HARDY","F",27,,,,,,,,,,,,,,,,,
4900,"Spa","S.P.A",,"Vincent","KAH","M",13,,,,,,,,,,,,,,,,,
7830,"Silly","LB",,"Julien","KAIBECK","M",13,,,,,,,,,,,,,,,,,
6230,"Pont-à-Celles","PP",,"Aurélien","KAIRET","M",3,,,,,,,,,,,,,,,,,
6230,"Pont-à-Celles","IC",,"Sébastien-Henri","KAIRET","M",7,,,,,,,,,,,,,,,,,
6180,"Courcelles","ECOLO",,"Tim","KAIRET","M",3,,,,,,,,,,,,,,,,,
4800,"Verviers","MR",,"Christian","KAIRIS","M",3,,,,,,,,,,,,,,,,,
6000,"Charleroi","DéFI",,"René","KAISE","M",31,,,,,,,,,,,,,,,,,
7900,"Leuze-en-Hainaut","DéFI",,"Angélique","KAISER","F",18,,,,,,,,,,,,,,,,,
6680,"Sainte-Ode","CAP 2030",,"Christophe","KAISER","M",3,,,,,,,,,,,,,,,,,
4430,"Ans","CDH-RCA",,"Jean-François","KAISIN","M",11,,,,,,,,,,,,,,,,,
1340,"Ottignies-Louvain-la-Neuve","OLLN 2.0-MR",,"Bénédicte","KAISIN-CASAGRANDE","F",1,,,,,,,,,,,,,,,,,
4800,"Verviers","NOUVEAU V.",,"Fabienne","KAIVERS","F",18,,,,,,,,,,,,,,,,,
7600,"Péruwelz","PS",,"Dimitri","KAJDANSKI","M",1,"PS","8","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,"https://www.cumuleo.be/mandataire/4841-dimitri-kajdanski.php"
1030,"Schaerbeek","PS-sp.a",5,"Abdelkhalak","Kajjal",,35,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","PS+sp.a",5,"_","Kakiese Nganze",,31,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PS sp.a",5,"Mohammed","Kalandar",,14,,,,,,,,,,,,,,,,,
,"Court-Saint-Etienne","ECOLO",,"Anne-Sophie","KALBFLEISCH","F",20,,,,,,,,,,,,,,,,,
4590,"Ouffet","EC",,"Xavier","KALBUSCH","M",6,,,,,,,,,,,,,,,,,
5000,"Namur","PP",,"Christophe","KALENGA","M",35,,,,,,,,,,,,,,,,,
1060,"Saint-Gilles","GAUCHES COMMUNES",14,"Evangelos","Kalergiadis",,10,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PS sp.a",5,"Laetitia","Kalimbiriro",,9,,,,,,,,,,,,,,,,,
5350,"Ohey","Plus d'Echo",,"Rose","KALLEN LOROY","F",8,,,,,,,,,,,,,,,,,
1180,"Uccle","UCCLE EN AVANT",13,"André","Kalonda",,15,,,,,,,,,,,,,,,,,
1480,"Tubize","MR",,"Ogbeyalo","KALU","F",16,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","DEMOS",13,"Françoise","Kamali",,2,,,,,,,,,,,,,,,,,
1040,"Etterbeek","PS-sp.a+",5,"Ronâk","Kamali",,18,,,,,,,,,,,,,,,,,
5000,"Namur","MR",,"Chantal","KAMIKAZI","F",33,,,,,,,,,,,,,,,,,
1040,"Etterbeek","Ecolo-Groen",2,"Joanna","Kaminska",,10,,,,,,,,,,,,,,,,,
1070,"Anderlecht","ECOLO_GROEN",2,"Nadia","Kammachi",,8,,,,,,,,,,,,,,,,,
5070,"Fosses-la-Ville","UD",,"Ervice","KAMMOGNE FOPOSSI","M",17,,,,,,,,,,,,,,,,,
7830,"Silly","DéFI",,"Khadija","KAMMOUN","F",4,,,,,,,,,,,,,,,,,
1090,"Jette","LBJETTE",1,"Jacob","Kamuanga Tujibikile",,17,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","PTB*PVDA",9,"Ibrahim","Kanat",,15,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","MR Open Vld",12,"Zeynep","Kandemir",,22,,,,,,,,,,,,,,,,,
1050,"Ixelles","PS - sp.a",5,"Mamoudou","Kane",,37,,,,,,,,,,,,,,,,,
1090,"Jette","PS - sp.a",5,"Mamouna","Kane",,18,,,,,,,,,,,,,,,,,
1090,"Jette","PS - sp.a",5,"Oumar","Kane",,35,,,,,,,,,,,,,,,,,
1050,"Ixelles","PS - sp.a",5,"Karen","Kaneza",,12,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","LISTE BOURGMESTRE (LB)",12,"Abdallah","Kanfaoui",,16,,,,,,,,,,,,,,,,,
4280,"Hannut","LA DROITE",,"Alice","KANGA KANGA","F",3,,,,,,,,,,,,,,,,,
4400,"Flémalle","RCC",,"Patricia","KAPATA PANUKUPI-META","F",2,,,,,,,,,,,,,,,,,
1060,"Saint-Gilles","CDH + CD&V",1,"_","Kapeli Masulisi",,35,,,,,,,,,,,,,,,,,
1000,"Bruxelles","PLAN B",13,"Marie-Christine","KAPEMA",,30,,,,,,,,,,,,,,,,,
1340,"Ottignies-Louvain-la-Neuve","PS",,"Martine","KAPITA KAMBA","F",9,,,,,,,,,,,,,,,,,
1140,"Evere","LISTE DU BOURGMESTRE",13,"Firyan","Kaplan",,8,"DéFi","8","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/14532-firyan-kaplan.php"
7000,"Mons","PS",,"Joëlle","KAPOMPOLE","F",4,"PS","10","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/4839-joelle-kapompole.php"
1030,"Schaerbeek","PTB*PVDA",9,"Hüseyin","Kara",,31,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","MR & CITOYENS",12,"Tufan","Kara",,3,,,,,,,,,,,,,,,,,
4600,"Visé","MR",,"Ahmet","KARABAYIR","M",18,,,,,,,,,,,,,,,,,
6180,"Courcelles","PS",,"Vedat","KARACAOGLAN","M",10,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","DéFI",4,"Lydia","Karagün",,3,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","DéFI",4,"Ninwa","Karagün",,9,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","CDH-CD&V+",1,"Oussama","Karam Ziani",,17,,,,,,,,,,,,,,,,,
7100,"La Louvière","PLUS & CDH",,"Anissa","KARAMI","F",18,,,,,,,,,,,,,,,,,
6200,"Châtelet","moDem",,"Enver","KARATAVUK","M",31,,,,,,,,,,,,,,,,,
1000,"Bruxelles","MR-VLD",6,"Agata","KARBOWSKA",,48,,,,,,,,,,,,,,,,,
4000,"Liège","DéFI",,"Claude","KARELLE","M",45,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","PS-sp.a",5,"Joseph","Karemera",,5,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","MR & CITOYENS",12,"Kevin","Karena Tshibangu",,5,,,,,,,,,,,,,,,,,
6700,"Arlon","ARLON 2030",,"Denis","KARENZO","M",11,,,,,,,,,,,,,,,,,
5000,"Namur","DéFI",,,"KARHAHUNGA CIBANGU","M",33,,,,,,,,,,,,,,,,,
4600,"Visé","OUI Visé",,"Stéphane","KARIGER","M",1,"MR","5","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/4837-stephane-kariger.php"
4550,"Nandrin","Pour Nandrin",,"Niki","KARIKAS","F",14,,,,,,,,,,,,,,,,,
5000,"Namur","PS",,"Kristel","KARLER","F",7,,,,,,,,,,,,,,,,,
4450,"Juprelle","UP ! Juprelle",,"Yasmine","KARMAOUI","F",11,,,,,,,,,,,,,,,,,
6671,"Gouvy","HORIZON NEUF",,"Thierry","KAROLCZAK","M",12,,,,,,,,,,,,,,,,,
1040,"Etterbeek","LB-LISTE BOURGMESTRE",6,"Yannick","Karys Pauwels",,12,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PTB*PVDA",9,"Latifa","Karzazi",,32,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","PS-sp.a",5,"Hatice","Kas",,32,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","MR & CITOYENS",12,"Sefket","Kas",,41,,,,,,,,,,,,,,,,,
1000,"Bruxelles","MR-VLD",6,"Christelle","KASEMBWE",,32,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","DéFI pour Woluwe 1150",4,"Antoinette","Kasinde Aluta",,32,,,,,,,,,,,,,,,,,
4800,"Verviers","ECOLO",,"Evangelos","KASKARIS","M",29,,,,,,,,,,,,,,,,,
6900,"Marche-en-Famenne","PS",,"Karine","KASKIW","F",18,,,,,,,,,,,,,,,,,
1000,"Bruxelles","Change.Brussels",11,"M'Hamed","KASMI",,18,,,,,,,,,,,,,,,,,
7100,"La Louvière","PLUS & CDH",,"Christian","KASONGO MWENA KAPAPA","M",15,,,,,,,,,,,,,,,,,
4100,"Seraing","PTB",,"Monique","KASPERS","F",18,,,,,,,,,,,,,,,,,
1090,"Jette","VLAAMS BELANG",3,"Maria","Kasprzak",,10,,,,,,,,,,,,,,,,,
5190,"Jemeppe-sur-Sambre","DéFI",,"Maïra","KASSEM","F",24,,,,,,,,,,,,,,,,,
1480,"Tubize","DéFI",,"Siham","KASSEMOUN","F",10,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","PS+sp.a",5,"Shkendije","Kastrati",,13,,,,,,,,,,,,,,,,,
1180,"Uccle","UCCLE EN AVANT",13,"Leon","Katebian",,21,,,,,,,,,,,,,,,,,
1190,"Forest","ECOLO-GROEN",2,"Dina","KATHELYN",,32,,,,,,,,,,,,,,,,,
1350,"Orp-Jauche","PACTE",,"Joseph","KATOMPA TSHIMUNGU","M",10,,,,,,,,,,,,,,,,,
5030,"Gembloux","DéFI",,"Laurent","KATZ","M",13,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","CDH + Indépendant",1,"Rukiye","Kavak",,2,,,,,,,,,,,,,,,,,
1070,"Anderlecht","PS-sp.a-cdH",5,"Abdurrahman","Kaya",,25,"PS","4","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/14534-abdurrahman-kaya.php"
6250,"Aiseau-Presles","ENSEMBLE",,"Engin","KAYA","M",9,,,,,,,,,,,,,,,,,
4670,"Blegny","PS",,"Ismaïl","KAYA","M",23,"PS","4","oui","oui","oui","oui","oui","oui","oui",,,,,,,,"https://www.cumuleo.be/mandataire/12703-ismail-kaya.php"
1210,"Saint-Josse-Ten-Noode","DéFI",4,"Nathalie","Kaya",,5,,,,,,,,,,,,,,,,,
1450,"Chastre","ECOLO",,"Floride","KAYABAGA","F",11,,,,,,,,,,,,,,,,,
1340,"Ottignies-Louvain-la-Neuve","ECOLO",,"Noémie","KAYAERT","F",25,,,,,,,,,,,,,,,,,
